,Word,Definitions
696,mushroom,common name for an edible agaric (contrasting with the inedible toadstool)
697,culture,a particular society at a particular time and place
698,wear,impairment resulting from long use
699,zone,a locally circumscribed place characterized by some distinctive features
700,air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
701,hall,an interior passage or corridor onto which rooms open
702,story,a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program
703,explosion,a violent release of energy caused by a chemical or nuclear reaction
704,freshman,a first-year undergraduate
705,embryo,(botany) a minute rudimentary plant contained within a seed or an archegonium
706,squash,any of numerous annual trailing plants of the genus Cucurbita grown for their fleshy edible fruits
707,oppose,NO DEFINITION FOUND
708,revolution,a drastic and far-reaching change in ways of thinking and behaving
709,shadow,shade within clear boundaries
710,repeat,an event that repeats
711,perforate,NO DEFINITION FOUND
712,laser,an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light
713,cereal,grass whose starchy grains are used as food: wheat; rice; rye; oats; maize; buckwheat; millet
714,comprehensive,an intensive examination testing a student's proficiency in some special field of knowledge
715,morning,the time period between dawn and noon
716,stroll,a leisurely walk (usually in some public place)
717,buttocks,the fleshy part of the human body that you sit on
718,ratio,the relative magnitudes of two quantities (usually expressed as a quotient)
719,resort,a hotel located in a resort area
720,compliance,acting according to certain accepted standards
721,delay,time during which some action is awaited
722,inside,the region that is inside of something
723,passive,the voice used to indicate that the grammatical subject of the verb is the recipient (not the source) of the action denoted by the verb
724,supply,an amount of something available for use
725,infect,NO DEFINITION FOUND
726,shout,a loud utterance; often in protest or opposition
727,paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
728,drive,the act of applying force to propel something
729,graze,a superficial abrasion
730,pressure,the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
731,leaflet,a thin triangular flap of a heart valve
732,context,discourse that surrounds a language unit and helps to determine its interpretation
733,pilot,someone who is licensed to operate an aircraft in flight
734,cylinder,a solid bounded by a cylindrical surface and two parallel planes (the bases)
735,pill,something that resembles a tablet of medicine in shape or size
736,waiter,a person whose occupation is to serve at table (as in a restaurant)
737,penny,a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
738,response,a result
739,omission,a mistake resulting from neglect
740,personal,a short newspaper article about a particular person or group
741,qualified,NO DEFINITION FOUND
742,eggwhite,NO DEFINITION FOUND
743,lodge,English physicist who studied electromagnetic radiation and was a pioneer of radiotelegraphy (1851-1940)
744,indulge,NO DEFINITION FOUND
745,groan,an utterance expressing pain or disapproval
746,joint,(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
747,bus,a vehicle carrying many passengers; used for public transport
748,choose,NO DEFINITION FOUND
749,bait,anything that serves as an enticement
750,management,the act of managing something
751,desert,arid land with little or no vegetation
752,fee,a fixed charge for a privilege or for professional services
753,disco,popular dance music (especially in the late 1970s); melodic with a regular bass beat; intended mainly for dancing at discotheques
754,crude,a dark oil consisting mainly of hydrocarbons
755,creation,the human act of creating
756,genuine,NO DEFINITION FOUND
757,printer,someone whose occupation is printing
758,valley,a long depression in the surface of the land that usually contains a river
759,spend,NO DEFINITION FOUND
760,length,the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
761,chin,the protruding part of the lower jaw
762,lamb,young sheep
763,alive,NO DEFINITION FOUND
764,wire,ligament made of metal and used to fasten things or make cages or fences etc
765,material,the tangible substance that goes into the makeup of a physical object
766,tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
767,reverse,a relation of direct opposition
768,rung,a crosspiece between the legs of a chair
769,abnormal,NO DEFINITION FOUND
770,rear,the back of a military formation or procession
771,brink,a region marking a boundary
772,barrier,a structure or object that impedes free movement
773,switch,control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit
774,harmony,compatibility in opinion and action
775,bridge,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
776,offender,a person who transgresses moral or civil law
777,perceive,NO DEFINITION FOUND
778,fair,a traveling show; having sideshows and rides and games of skill etc.
779,interrupt,a signal that temporarily stops the execution of a program so that another procedure can be carried out
780,sheep,woolly usually horned ruminant mammal related to the goat
781,exceed,NO DEFINITION FOUND
782,jungle,a location marked by an intense competition and struggle for survival
783,Europe,the 2nd smallest continent (actually a vast peninsula of Eurasia); the British use `Europe' to refer to all of the continent except the British Isles
784,theme,the subject matter of a conversation or discussion
785,normal,something regarded as a normative example
786,tendency,an attitude of mind especially one that favors one alternative over others
787,integrated,NO DEFINITION FOUND
788,contemporary,a person of nearly the same age as another
789,regular,a regular patron
790,modernize,NO DEFINITION FOUND
791,man,an adult person who is male (as opposed to a woman)
792,real,any rational or irrational number
793,clean,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead
794,shock,the feeling of distress and disbelief that you have when something bad happens accidentally
795,water,binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent
796,wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs
797,boot,footwear that covers the whole foot and lower leg
798,dialogue,a conversation between two persons
799,highlight,the most interesting or memorable part
800,school,an educational institution
801,academy,a secondary school (usually private)
802,coffin,box in which a corpse is buried or cremated
803,equal,a person who is of equal standing with another in a group
804,diet,a prescribed selection of foods
805,warrant,a writ from a court commanding police to perform specified acts
806,spill,liquid that is spilled
807,popular,NO DEFINITION FOUND
808,content,everything that is included in a collection and that is held or included in something
809,spider,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"
810,freighter,a cargo ship
811,lighter,a substance used to ignite or kindle a fire
812,cute,NO DEFINITION FOUND
813,survival,a state of surviving; remaining alive
814,determine,NO DEFINITION FOUND
815,idea,the content of cognition; the main thing you are thinking about
816,snail,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
817,first-hand,NO DEFINITION FOUND
818,self,your consciousness of your own identity
819,producer,someone who manufactures something
820,literacy,the ability to read and write
821,linen,a fabric woven with fibers from the flax plant
822,promotion,a message issued in behalf of some product or cause or idea or person or institution
823,overeat,NO DEFINITION FOUND
824,extent,the point or degree to which something extends
825,decay,the process of gradually becoming inferior
826,athlete,a person trained to compete in sports
827,spontaneous,NO DEFINITION FOUND
828,corpse,the dead body of a human being
829,discover,NO DEFINITION FOUND
830,food,any substance that can be metabolized by an animal to give energy and build tissue
831,consider,NO DEFINITION FOUND
832,fan,a device for creating a current of air by movement of a surface or surfaces
833,building,a structure that has a roof and walls and stands more or less permanently in one place
834,coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
835,rebellion,refusal to accept some authority or code or convention
836,parking,space in which vehicles can be parked
837,invasion,the act of invading; the act of an army that invades for conquest or plunder
838,great,a person who has achieved distinction and honor in some field
839,wait,time during which some action is awaited
840,battle,a hostile meeting of opposing military forces in the course of a war
841,threat,something that is a source of danger
842,narrow,a narrow strait connecting two bodies of water
843,reduce,NO DEFINITION FOUND
844,release,merchandise issued for sale or public showing (especially a record or film)
845,maid,a female domestic
846,articulate,NO DEFINITION FOUND
847,property,something owned; any tangible or intangible possession that is owned by someone; 
848,will,the capability of conscious choice and decision and intention
849,nightmare,a situation resembling a terrifying dream
850,liberty,immunity from arbitrary exercise of authority: political independence
851,incident,a single distinct event
852,thin,NO DEFINITION FOUND
853,delivery,the act of delivering or distributing something (as goods or mail)
854,decrease,a change downward
855,amputate,NO DEFINITION FOUND
856,outline,the line that appears to bound an object
857,diamond,a transparent piece of diamond that has been cut and polished and is valued as a precious gem
858,wrong,that which is contrary to the principles of justice or law
859,mutter,a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
860,collapse,an abrupt failure of function or complete physical exhaustion
861,treat,something considered choice to eat
862,absent,NO DEFINITION FOUND
863,convention,a large formal assembly
864,representative,a person who represents others
865,request,a formal message requesting something that is submitted to an authority
866,lemon,yellow oval fruit with juicy acidic flesh
867,character,an imaginary person represented in a work of fiction (play or film or story)
868,doctor,a licensed medical practitioner
869,persist,NO DEFINITION FOUND
870,circulate,NO DEFINITION FOUND
871,mosque,(Islam) a Muslim place of worship that usually has a minaret
872,paragraph,one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
873,remedy,act of correcting an error or a fault or an evil
874,meal,the food served and eaten at one time
875,soar,the act of rising upward into the air
876,medium,a means or instrumentality for storing or communicating information
877,value,a numerical quantity measured or assigned or computed
878,toast,slices of bread that have been toasted
879,firefighter,a member of a fire department who tries to extinguish fires
880,offense,a lack of politeness; a failure to show regard for others; wounding the feelings or others
881,glimpse,a quick look
882,help,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
883,lump,a compact mass
884,guideline,a light line that is used in lettering to help align the letters
885,prosper,NO DEFINITION FOUND
886,anticipation,an expectation
887,infrastructure,the basic structure or features of a system or organization
888,start,the beginning of anything
889,redundancy,repetition of messages to reduce the probability of errors in transmission
890,deficiency,the state of needing something that is absent or unavailable
891,admiration,a feeling of delighted approval and liking
892,major,a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain
893,serve,(sports) a stroke that puts the ball in play
894,sunrise,the first light of day
895,copper,a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor
896,message,a communication (usually brief) that is written or spoken or signaled
897,corruption,lack of integrity or honesty (especially susceptibility to bribery); use of a position of trust for dishonest gain
898,falsify,NO DEFINITION FOUND
899,embarrassment,the shame you feel when your inadequacy or guilt is made public
900,defend,NO DEFINITION FOUND
901,watch,a small portable timepiece
902,knee,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
903,bean,any of various edible seeds of plants of the family Leguminosae used for food
904,stock,the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)
905,collection,several things grouped together or considered as a whole
906,show,the act of publicly exhibiting or entertaining
907,exemption,immunity from an obligation or duty
908,breakfast,the first meal of the day (usually in the morning)
909,graduate,a person who has received a degree from a school (high school or college or university)
910,north,the region of the United States lying to the north of the Mason-Dixon line
911,import,commodities (goods or services) bought from a foreign country
912,term,a word or expression used for some particular thing
913,election,a vote to select the winner of a position or political office
914,episode,a happening that is distinctive in a series of related events
915,linear,NO DEFINITION FOUND
916,crew,"the men and women who man a vehicle (ship, aircraft, etc.)"
917,middle,an area that is approximately central within some larger region
918,bag,a flexible container with a single opening
919,proposal,something proposed (such as a plan or assumption)
920,sickness,impairment of normal physiological function affecting part or all of an organism
921,survey,a detailed critical inspection
922,quality,an essential and distinguishing attribute of something or someone
923,federation,an organization formed by merging several groups or parties
924,advice,a proposal for an appropriate course of action
925,game,a contest with rules to determine a winner
926,gun,a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)
927,begin,Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)
928,light,(physics) electromagnetic radiation that can produce a visual sensation
929,friend,a person you know well and regard with affection and trust
930,central,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
931,custody,a state of being confined (usually for a short time)
932,dismiss,NO DEFINITION FOUND
933,desk,a piece of furniture with a writing surface and usually drawers or other compartments
934,scandal,disgraceful gossip about the private lives of other people
935,privacy,the quality of being secluded from the presence or view of others
936,technique,a practical method or art applied to some particular task
937,lily,any liliaceous plant of the genus Lilium having showy pendulous flowers
938,name,a language unit by which a person or thing is known
939,union,an organization of employees formed to bargain with the employer
940,go,a time for working (after which you will be relieved by someone else)
941,lip,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
942,invisible,NO DEFINITION FOUND
943,growth,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
944,disgrace,a state of dishonor
945,prisoner,a person who is confined; especially a prisoner of war
946,variety,a collection containing a variety of sorts of things
947,escape,the act of escaping physically
948,read,something that is read
949,detail,an isolated fact that is considered separately from the whole
950,swallow,a small amount of liquid food
951,farewell,an acknowledgment or expression of goodwill at parting
952,realism,the attribute of accepting the facts of life and favoring practicality and literal truth
953,stroke,(sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
954,meaning,the message that is intended or expressed or signified
955,pawn,an article deposited as security
956,guarantee,a written assurance that some product or service will be provided or will meet certain specifications
957,club,a team of professional baseball players who play and travel together
958,native,an indigenous person who was born in a particular place
959,continuous,NO DEFINITION FOUND
960,ambiguous,NO DEFINITION FOUND
961,negotiation,a discussion intended to produce an agreement
962,hurl,a violent throw
963,utter,NO DEFINITION FOUND
964,master,an artist of consummate skill
965,dorm,a college or university building containing living quarters for students
966,sock,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
967,motorist,someone who drives (or travels in) an automobile
968,distant,NO DEFINITION FOUND
969,ear,the sense organ for hearing and equilibrium
970,sand,a loose material consisting of grains of rock or coral
971,parameter,a constant in the equation of a curve that can be varied to yield a family of similar curves
972,marathon,any long and arduous undertaking
973,pity,a feeling of sympathy and sorrow for the misfortunes of others
974,record,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
975,new,NO DEFINITION FOUND
976,mood,a characteristic (habitual or relatively temporary) state of feeling
977,father,a male parent (also used as a term of address to your father)
978,effort,earnest and conscientious activity intended to do or accomplish something
979,enter,NO DEFINITION FOUND
980,spine,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
981,block,a solid piece of something (usually having flat rectangular sides)
982,plagiarize,NO DEFINITION FOUND
983,grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
984,constitution,law determining the fundamental political principles of a government
985,craft,the skilled practice of a practical occupation
986,effect,a phenomenon that follows and is caused by some previous phenomenon
987,archive,a depository containing historical records and documents
988,overwhelm,NO DEFINITION FOUND
989,assault,close fighting during the culmination of a military attack
990,constraint,the state of being physically constrained
991,ban,a decree that prohibits something
992,corner,a place off to the side of an area
993,disappointment,a feeling of dissatisfaction that results when your expectations are not realized
994,tell,a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
995,comment,a statement that expresses a personal opinion or belief or adds information
996,hypothesis,a proposal intended to explain certain facts or observations
997,confuse,NO DEFINITION FOUND
998,concern,something that interests you because it is important or affects you
999,rule,a principle or condition that customarily governs behavior
1000,photocopy,a photographic copy of written or printed or graphic work
1001,houseplant,any of a variety of plants grown indoors for decorative purposes
1002,borrow,NO DEFINITION FOUND
1003,exploration,to travel for the purpose of discovery
1004,word,a unit of language that native speakers can identify
1005,prove,NO DEFINITION FOUND
1006,quit,NO DEFINITION FOUND
1007,revenge,action taken in return for an injury or offense
1008,register,an official written record of names or events or transactions
1009,tough,someone who learned to fight in the streets rather than being formally trained in the sport of boxing
1010,strategic,NO DEFINITION FOUND
1011,hope,a specific instance of feeling hopeful
1012,index,a numerical scale used to compare variables with one another or with some reference number
1013,auction,a variety of bridge in which tricks made in excess of the contract are scored toward game; now generally superseded by contract bridge
1014,aviation,the aggregation of a country's military aircraft
1015,build,constitution of the human body
1016,voucher,someone who vouches for another or for the correctness of a statement
1017,training,activity leading to skilled behavior
1018,love,a strong positive emotion of regard and affection
1019,experience,the accumulation of knowledge or skill that results from direct participation in events or activities
1020,leftovers,food remaining from a previous meal
1021,proportion,the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
1022,holiday,leisure time away from work devoted to rest or pleasure
1023,density,the amount per unit size
1024,slot,a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
1025,candle,stick of wax with a wick in the middle
1026,minute,a unit of time equal to 60 seconds or 1/60th of an hour
1027,nationalist,one who loves and defends his or her country
1028,friendly,troops belonging to or allied with your own military forces
1029,convert,a person who has been converted to another religious or political belief
1030,high,a lofty level or position or degree
1031,faithful,any loyal and steadfast following
1032,automatic,light machine gun
1033,aloof,NO DEFINITION FOUND
1034,soil,the state of being covered with unclean things
1035,choice,the person or thing chosen or selected
1036,repetition,an event that repeats
1037,print,"the text appearing in a book, newspaper, or other printed publication"
1038,restless,NO DEFINITION FOUND
1039,welfare,governmental provision of economic assistance to persons in need
1040,coach,(sports) someone in charge of training an athlete or a team
1041,dawn,the first light of day
1042,ecstasy,a state of being carried away by overwhelming emotion
1043,plain,extensive tract of level open land
1044,reform,a change for the better as a result of correcting abuses
1045,strength,the property of being physically or mentally strong
1046,volcano,a fissure in the earth's crust (or in the surface of some other planet) through which molten lava and gases erupt
1047,weed,any plant that crowds out cultivated plants
1048,bind,something that hinders as if with bonds
1049,penalty,the act of punishing
1050,economy,the system of production and distribution and consumption
1051,blame,an accusation that you are responsible for some lapse or misdeed
1052,surround,the area in which something exists or lives
1053,spy,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
1054,feminine,a gender that refers chiefly (but not exclusively) to females or to objects classified as female
1055,stomach,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
1056,river,a large natural stream of water (larger than a creek)
1057,contain,NO DEFINITION FOUND
1058,architecture,an architectural product or work
1059,charm,attractiveness that interests or pleases or stimulates
1060,excavation,the act of digging
1061,respectable,NO DEFINITION FOUND
1062,transition,the act of passing from one state or place to the next
1063,irony,witty language used to convey insults or scorn
1064,authority,the power or right to give orders or make decisions
1065,appreciate,NO DEFINITION FOUND
1066,weapon,any instrument or instrumentality used in fighting or hunting
1067,forecast,a prediction about how something (as the weather) will develop
1068,courtesy,a courteous or respectful or considerate act
1069,garlic,bulbous herb of southern Europe widely naturalized; bulb breaks up into separate strong-flavored cloves
1070,strange,NO DEFINITION FOUND
1071,cell,any small compartment
1072,sting,a kind of pain; something as sudden and painful as being stung
1073,paralyzed,NO DEFINITION FOUND
1074,allocation,a share set aside for a specific purpose
1075,chimpanzee,intelligent somewhat arboreal ape of equatorial African forests
1076,knife,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle
1077,forestry,the science of planting and caring for forests and the management of growing timber
1078,meadow,a field where grass or alfalfa are grown to be made into hay
1079,studio,workplace for the teaching or practice of an art
1080,opposition,the action of opposing something that you disapprove or disagree with
1081,diagram,a drawing intended to explain how something works; a drawing showing the relation between the parts
1082,aluminium,a silvery ductile metallic element found primarily in bauxite
1083,attic,floor consisting of open space at the top of a house just below roof; often used for storage
1084,van,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
1085,mistreat,NO DEFINITION FOUND
1086,rotate,NO DEFINITION FOUND
1087,aisle,a long narrow passage (as in a cave or woods)
1088,spell,a psychological state induced by (or as if induced by) a magical incantation
1089,quarrel,an angry dispute
1090,association,a formal organization of people or groups of people
1091,wood,the hard fibrous lignified substance under the bark of trees
1092,prefer,NO DEFINITION FOUND
1093,cause,events that provide the generative force that is the origin of something
1094,pat,the sound made by a gentle blow
1095,qualify,NO DEFINITION FOUND
1096,diameter,the length of a straight line passing through the center of a circle and connecting two points on the circumference
1097,momentum,an impelling force or strength
1098,line,a formation of people or things one beside another
1099,instruction,a message describing how something is to be done
1100,hover,NO DEFINITION FOUND
1101,finished,NO DEFINITION FOUND
1102,entertainment,an activity that is diverting and that holds the attention
1103,drill,a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
1104,single,a base hit on which the batter stops safely at first base
1105,alarm,fear resulting from the awareness of danger
1106,dress,a one-piece garment for a woman; has skirt and bodice
1107,tool,an implement used in the practice of a vocation
1108,landscape,an expanse of scenery that can be seen in a single view
1109,hospitality,kindness in welcoming guests or strangers
1110,chop,the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
1111,aware,NO DEFINITION FOUND
1112,blue,blue color or pigment; resembling the color of the clear sky in the daytime
1113,profit,the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
1114,portion,something determined in relation to something that includes it
1115,danger,the condition of being susceptible to harm or injury
1116,influence,a power to affect persons or events especially power based on prestige etc
1117,grandfather,the father of your father or mother
1118,question,an instance of questioning
1119,salvation,(theology) the act of delivering from sin or saving from evil
1120,trick,a cunning or deceitful action or device
1121,justice,the quality of being just or fair
1122,prevalence,the quality of prevailing generally; being widespread
1123,increase,a quantity that is added
1124,licence,excessive freedom; lack of due restraint
1125,cattle,domesticated bovine animals as a group regardless of sex or age
1126,old,past times (especially in the phrase `in days of old')
1127,factor,anything that contributes causally to a result
1128,equation,a mathematical statement that two expressions are equal
1129,chorus,any utterance produced simultaneously by a group
1130,loop,fastener consisting of a metal ring for lining a small hole to permit the attachment of cords or lines
1131,grandmother,the mother of your father or mother
1132,sip,a small drink
1133,good,benefit
1134,update,news that updates your information
1135,valid,NO DEFINITION FOUND
1136,railcar,a wheeled vehicle adapted to the rails of railroad
1137,betray,NO DEFINITION FOUND
1138,stereotype,a conventional or formulaic conception or image
1139,Venus,the second nearest planet to the sun; it is peculiar in that its rotation is slow and retrograde (in the opposite sense of the Earth and all other planets except Uranus); it is visible from Earth as an early `morning star' or an `evening star'
1140,late,NO DEFINITION FOUND
1141,tax,charge against a citizen's person or property or activity for the support of government
1142,ivory,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses
1143,pull,the act of pulling; applying force to move something toward or with you
1144,field,a piece of land cleared of trees and usually enclosed
1145,restrain,NO DEFINITION FOUND
1146,role,the actions and activities assigned to or required or expected of a person or group
1147,confrontation,a bold challenge
1148,relinquish,NO DEFINITION FOUND
1149,descent,a movement downward
1150,module,one of the inherent cognitive or perceptual powers of the mind
1151,breathe,NO DEFINITION FOUND
1152,recycle,NO DEFINITION FOUND
1153,trip,a journey for some purpose (usually including the return)
1154,shake,building material used as siding or roofing
1155,chain,a series of things depending on each other as if linked together
1156,affinity,(immunology) the attraction between an antigen and an antibody
1157,cart,a heavy open wagon usually having two wheels and drawn by an animal
1158,play,a dramatic work intended for performance by actors on a stage
1159,morale,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
1160,sweep,a wide scope
1161,lifestyle,a manner of living that reflects the person's values and attitudes
1162,couple,a pair who associate with one another
1163,appointment,the act of putting a person into a non-elective position
1164,stop,the event of something ending
1165,celebration,a joyful occasion for special festivities to mark some happy event
1166,medieval,NO DEFINITION FOUND
1167,constituency,the body of voters who elect a representative for their area
1168,joke,a humorous anecdote or remark intended to provoke laughter
1169,city,a large and densely populated urban area; may include several independent administrative districts
1170,jurisdiction,(law) the right and power to interpret and apply the law
1171,hike,a long walk usually for exercise or pleasure
1172,stay,continuing or remaining in a place or state
1173,wound,an injury to living tissue (especially an injury involving a cut or break in the skin)
1174,jaw,the part of the skull of a vertebrate that frames the mouth and holds the teeth
1175,ton,a United States unit of weight equivalent to 2000 pounds
1176,solo,any activity that is performed alone without assistance
1177,waist,the narrowing of the body between the ribs and hips
1178,rabbit,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
1179,solve,NO DEFINITION FOUND
1180,publish,NO DEFINITION FOUND
1181,crackpot,a whimsically eccentric person
1182,musical,a play or film whose action and dialogue is interspersed with singing and dancing
1183,collar,a band that fits around the neck and is usually folded over
1184,railroad,line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight
1185,hear,NO DEFINITION FOUND
1186,royalty,payment to the holder of a patent or copyright or resource for the right to use their property
1187,performance,a dramatic or musical entertainment
1188,dynamic,an efficient incentive
1189,talkative,NO DEFINITION FOUND
1190,queue,a line of people or vehicles waiting for something
1191,mold,the distinctive form in which a thing is made
1192,sailor,any member of a ship's crew
1193,reconcile,NO DEFINITION FOUND
1194,rest,something left after other parts have been taken away
1195,flat,a level tract of land
1196,flex,the act of flexing
1197,established,NO DEFINITION FOUND
1198,cellar,the lowermost portion of a structure partly or wholly below ground level; often used for storage
1199,flight,a formation of aircraft in flight
1200,shell,ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
1201,debate,a discussion in which reasons are advanced for and against some proposition or proposal
1202,thigh,the part of the leg between the hip and the knee
1203,swipe,a sweeping stroke or blow
1204,animal,a living organism characterized by voluntary movement
1205,slap,a blow from a flat object (as an open hand)
1206,creditcard,NO DEFINITION FOUND
1207,medicine,the branches of medical science that deal with nonsurgical techniques
1208,cultivate,NO DEFINITION FOUND
1209,back,the posterior part of a human (or animal) body from the neck to the end of the spine
1210,grant,any monetary aid
1211,miserable,NO DEFINITION FOUND
1212,expansion,the act of increasing (something) in size or volume or quantity or scope
1213,improve,NO DEFINITION FOUND
1214,elegant,NO DEFINITION FOUND
1215,punish,NO DEFINITION FOUND
1216,dilemma,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
1217,lounge,an upholstered seat for more than one person
1218,concrete,a strong hard building material composed of sand and gravel and cement and water
1219,jewel,a precious or semiprecious stone incorporated into a piece of jewelry
1220,skilled,NO DEFINITION FOUND
1221,remind,NO DEFINITION FOUND
1222,gap,a conspicuous disparity or difference as between two figures
1223,correction,the act of offering an improvement to replace a mistake; setting right
1224,basket,a container that is usually woven and has handles
1225,ritual,any customary observance or practice
1226,ensure,NO DEFINITION FOUND
1227,skate,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
1228,unfair,NO DEFINITION FOUND
1229,snake,limbless scaly elongate reptile; some are venomous
1230,endorse,NO DEFINITION FOUND
1231,flower,a plant cultivated for its blooms or blossoms
1232,engagement,a hostile meeting of opposing military forces in the course of a war
1233,bring,NO DEFINITION FOUND
1234,retailer,a merchant who sells goods at retail
1235,choke,a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current
1236,crossing,traveling across
1237,pension,a regular payment to a person that is intended to allow them to subsist without working
1238,conventional,NO DEFINITION FOUND
1239,climate,the weather in some location averaged over some long period of time
1240,cheap,NO DEFINITION FOUND
1241,threaten,NO DEFINITION FOUND
1242,sculpture,a three-dimensional work of plastic art
1243,shortage,the property of being an amount by which something is less than expected or required
1244,fireplace,an open recess in a wall at the base of a chimney where a fire can be built
1245,lung,either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
1246,accumulation,an increase by natural growth or addition
1247,piece,a separate part of a whole
1248,apple,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
1249,suntan,a browning of the skin resulting from exposure to the rays of the sun
1250,rob,NO DEFINITION FOUND
1251,revoke,the mistake of not following suit when able to do so
1252,system,instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
1253,pudding,any of various soft thick unsweetened baked dishes
1254,agony,intense feelings of suffering; acute mental or physical pain
1255,exploit,a notable achievement
1256,solid,matter that is solid at room temperature and pressure
1257,view,a way of regarding situations or topics etc.
1258,generation,all the people living at the same time or of approximately the same age
1259,reception,the manner in which something is greeted
1260,green,green color or pigment; resembling the color of growing grass
1261,parachute,rescue equipment consisting of a device that fills with air and retards your fall
1262,pastel,any of various pale or light colors
1263,mist,a thin fog with condensation near the ground
1264,even,the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
1265,beg,NO DEFINITION FOUND
1266,conceive,NO DEFINITION FOUND
1267,flock,a church congregation guided by a pastor
1268,makeup,cosmetics applied to the face to improve or change your appearance
1269,introduce,NO DEFINITION FOUND
1270,restrict,NO DEFINITION FOUND
1271,poetry,literature in metrical form
1272,chew,a wad of something chewable as tobacco
1273,therapist,a person skilled in a particular type of therapy
1274,productive,NO DEFINITION FOUND
1275,positive,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution"
1276,dose,a measured portion of medicine taken at any one time
1277,honor,a tangible symbol signifying approval or distinction
1278,health,a healthy state of wellbeing free from disease
1279,brush,a dense growth of bushes
1280,premature,NO DEFINITION FOUND
1281,marketing,the exchange of goods for an agreed sum of money
